Geneid	Blood	1 hour	2 hours	4 hours	6 hours
PSMD14	13.33333333	369.3333333	1050.666667	1394.666667	1808
PSMG1	5.666666667	128.6666667	376	429	578.6666667
PSORS1C1	0	17.66666667	26.33333333	40.33333333	90
PSPH	0	51	168	194.3333333	266.6666667
PTDSS2	29.66666667	100	232	234.3333333	426.3333333
PTGER1	0	8	12.33333333	8.666666667	25.66666667
PTGR1	0	29.66666667	103.6666667	141	192
PTGR2	2	24.66666667	95.33333333	108	135.3333333
PTK2	12	404	1238	1783.333333	1796.666667
PTK6	7.333333333	119.3333333	337	343	495
PTK7	14.66666667	167.6666667	506.6666667	591.3333333	979
PTMS	52.66666667	312.6666667	564	743.3333333	908
PTPDC1	6.666666667	48	147	231.6666667	250.6666667
PTPN13	11.33333333	72	240.6666667	356.3333333	359.6666667
PTPN14	0.666666667	263.6666667	828	1302.333333	1180.333333
PTPN3	0	48.66666667	192	263	269.3333333
PTPRB	0	13	39	56.66666667	48
PTPRD	0	8.666666667	27.33333333	39.66666667	39.66666667
PTPRF	6	1252.666667	3885.666667	5380.666667	6853
PTPRG	0	158	619.3333333	1061.666667	1009
PTPRG-AS1	0	3.333333333	17	13.33333333	21.66666667
PTPRH	1.333333333	178.3333333	642.3333333	759.6666667	989.3333333
PTPRK	3.333333333	271	918	1302.666667	1333.666667
PTPRR	0	6.666666667	28.66666667	41.66666667	39.33333333
PTPRU	2.666666667	495.6666667	1660	2112.666667	2710.333333
PTTG1	5.666666667	222.6666667	277.3333333	400.3333333	380.6666667
PTX3	2.666666667	77	126.6666667	71.66666667	70
PUDP	24	92	298.3333333	377.3333333	550.6666667
PUM3	24	183	589	1013	952.3333333
PUS1	27	143.6666667	289.3333333	346.6666667	612
PUS7	18	149.3333333	404.3333333	675.6666667	842
PVR	121	522	1401.666667	2088.666667	2412.666667
PVT1	10	121.3333333	279.6666667	338	571
PYCR1	1	467.3333333	1266	1579.333333	2388.666667
PYCR3	4.666666667	57	152	171	268.3333333
PYGB	243.3333333	2425.333333	6363.666667	8697	12378
QPCTL	4.666666667	51	98	110.6666667	175
QPRT	2.666666667	280.3333333	782.3333333	969.6666667	1473
QRSL1	20.66666667	95.33333333	240.3333333	340	378.6666667
QSOX1	937.3333333	4918.333333	13593	17524.33333	23693
RAB11FIP5	10.66666667	278.6666667	772	1078.666667	1356
